https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1637366400,2021-11-20 00:00:00,BTC/USDT,58049.2,58410.9,57943,58381.6,96.22484308,5596122.35929549
1637280000,2021-11-19 00:00:00,BTC/USDT,56877.8,58331,55600,58048.5,7300.18026852,417030063.707179
1637193600,2021-11-18 00:00:00,BTC/USDT,60345,60951.2,56473.3,56877.7,10628.04419424,622911867.530972
1637107200,2021-11-17 00:00:00,BTC/USDT,60060.8,60822.7,58358.6,60345,8818.93649377,527388313.736046
1637020800,2021-11-16 00:00:00,BTC/USDT,63610.4,63613.5,58557.5,60060.8,12811.67529256,778068482.181997
1636934400,2021-11-15 00:00:00,BTC/USDT,65505.1,66361,63368,63611.8,5905.16464088,383210071.327677
1636848000,2021-11-14 00:00:00,BTC/USDT,64370.6,65511.1,63569.8,65505.2,4154.61041457,267874693.440481
1636761600,2021-11-13 00:00:00,BTC/USDT,64134.1,64963.5,63369.3,64370.6,3122.4147716,200216587.935022
1636675200,2021-11-12 00:00:00,BTC/USDT,64770.9,65472.7,62263.9,64134.1,7482.04893344,478645587.988159
1636588800,2021-11-11 00:00:00,BTC/USDT,64892.2,65589.9,64109.1,64769.2,5477.97392122,355460152.099749
1636502400,2021-11-10 00:00:00,BTC/USDT,66943,69028,62540,64892.2,9142.52216948,608460351.153393
1636416000,2021-11-09 00:00:00,BTC/USDT,67509.4,68500.1,66171.6,66941.7,6584.72224006,444215755.01668
1636329600,2021-11-08 00:00:00,BTC/USDT,63267.9,67795.7,63267.9,67509.5,8888.36246772,583849967.396627
1636243200,2021-11-07 00:00:00,BTC/USDT,61467.1,63277.2,61326.7,63264.8,4848.40462337,301402150.148568
1636156800,2021-11-06 00:00:00,BTC/USDT,60947.7,61555,60050,61467.1,4279.71051737,260493501.860403
1636070400,2021-11-05 00:00:00,BTC/USDT,61401.9,62604,60730,60947.9,5158.7145403,317153935.344469
1635984000,2021-11-04 00:00:00,BTC/USDT,62893.9,63086.9,60700,61401.9,6264.95293998,386571708.988475
