https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1637366400,2021-11-20 00:00:00,ETH/USDT,4295.07,4319.58,4292.55,4316.53,555.56398571,2391429.7508604779
1637280000,2021-11-19 00:00:00,ETH/USDT,3996.76,4309,3974.45,4295.07,62941.95585169,260963494.0078020172
1637193600,2021-11-18 00:00:00,ETH/USDT,4288.15,4344.08,3936.8,3996.76,95071.38094942,392449850.247132088
1637107200,2021-11-17 00:00:00,ETH/USDT,4207.93,4298.91,4062.59,4288.15,65262.9718655,273673894.4564533495
1637020800,2021-11-16 00:00:00,ETH/USDT,4563.02,4563.11,4065,4207.55,108338.29528815,466344243.9678429852
1636934400,2021-11-15 00:00:00,ETH/USDT,4626.35,4769.3,4541.68,4563.02,51291.30863142,238886225.9406067833
1636848000,2021-11-14 00:00:00,ETH/USDT,4644.16,4695.4,4503.4,4626.34,41127.10364615,188845287.1923450596
1636761600,2021-11-13 00:00:00,ETH/USDT,4665.23,4705.58,4575.54,4644.16,34744.37549281,161451815.9123805627
1636675200,2021-11-12 00:00:00,ETH/USDT,4719.11,4808.43,4507.08,4665.23,60055.43917991,279511265.5863410113
1636588800,2021-11-11 00:00:00,ETH/USDT,4630.68,4779.12,4577.89,4719.98,45644.81144755,214226593.4328814367
1636502400,2021-11-10 00:00:00,ETH/USDT,4732.74,4868.48,4450,4630.67,75325.25079019,353613891.2619628435
1636416000,2021-11-09 00:00:00,ETH/USDT,4807.54,4839,4711,4732.74,52805.50949581,252728273.9370249356
1636329600,2021-11-08 00:00:00,ETH/USDT,4613.4,4824,4613.27,4807.57,65322.66048497,309080234.8287344039
1636243200,2021-11-07 00:00:00,ETH/USDT,4517.86,4638.17,4498.8,4613.4,46200.75425505,211717076.1516345829
1636156800,2021-11-06 00:00:00,ETH/USDT,4473.92,4530,4326.35,4517.38,50290.11968835,223478336.5336074914
1636070400,2021-11-05 00:00:00,ETH/USDT,4533.03,4571,4440.52,4474.76,52012.15909085,234154118.071828858
1635984000,2021-11-04 00:00:00,ETH/USDT,4602.94,4606.77,4412,4533.03,73085.76053192,330192117.4643944223
1635897600,2021-11-03 00:00:00,ETH/USDT,4588.99,4665.19,4455,4602.48,82607.1786855,377597456.1989362933
1635811200,2021-11-02 00:00:00,ETH/USDT,4319.76,4600,4285.4,4588.99,84707.8533259,376802401.952876491
1635724800,2021-11-01 00:00:00,ETH/USDT,4286.92,4382.35,4143.18,4319.75,76664.7180629,329266351.3702486365
1635638400,2021-10-31 00:00:00,ETH/USDT,4322.7,4393.8,4165,4286.91,76881.72029347,328630755.3556056878
1635552000,2021-10-30 00:00:00,ETH/USDT,4419.84,4434.26,4233.83,4322.69,59235.84759207,256020324.8321931923
1635465600,2021-10-29 00:00:00,ETH/USDT,4285.87,4460.58,4266.6,4419.83,96327.19114504,420152951.8909430507
1635379200,2021-10-28 00:00:00,ETH/USDT,3921.54,4296.6,3888,4285.78,135337.3841827,558985381.827529815
1635292800,2021-10-27 00:00:00,ETH/USDT,4131.56,4308.53,3907.97,3921.55,140003.94982091,568907539.9862041907
1635206400,2021-10-26 00:00:00,ETH/USDT,4220.72,4296.8,4090,4130.34,79497.9868986,333533457.4514829514
1635120000,2021-10-25 00:00:00,ETH/USDT,4081.56,4235.28,4068.4,4220.71,70510.94155545,293464154.2861055714
1635033600,2021-10-24 00:00:00,ETH/USDT,4167.99,4187,3962.5,4081.56,70020.17226321,284718464.5193339341
1634947200,2021-10-23 00:00:00,ETH/USDT,3972.44,4172.45,3937.15,4167.49,69701.25147474,282217743.0201393196
1634860800,2021-10-22 00:00:00,ETH/USDT,4053.7,4167.54,3890,3972.43,81638.01702926,330175075.5335910704
1634774400,2021-10-21 00:00:00,ETH/USDT,4161.67,4374.57,4010.03,4054.13,150764.0955634,628016474.1493907415
1634688000,2021-10-20 00:00:00,ETH/USDT,3877.38,4168.93,3825,4161.76,101283.49953218,404919077.5901684899
1634601600,2021-10-19 00:00:00,ETH/USDT,3745.84,3887.41,3732.36,3877.38,85601.50190092,325982499.5819408817
