https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1637366400,2021-11-20 00:00:00,LTC/USDT,217.896,219.542,217.257,219.489,1838.92345408,401129.67154817915
1637280000,2021-11-19 00:00:00,LTC/USDT,204.15,221.213,199.46,217.903,231909.402782,48985764.57413369418
1637193600,2021-11-18 00:00:00,LTC/USDT,229.554,232.287,199.314,204.024,263077.86928721,56112152.58261928838
1637107200,2021-11-17 00:00:00,LTC/USDT,230.283,235.413,217.58,229.656,218995.6056501,49873954.7843121693
1637020800,2021-11-16 00:00:00,LTC/USDT,262.933,263.136,209,230.395,300091.92836771,71816822.49555660968
1636934400,2021-11-15 00:00:00,LTC/USDT,279.293,281.376,259.241,262.883,183330.92160579,49734103.36164772456
1636848000,2021-11-14 00:00:00,LTC/USDT,257.686,279.45,248.471,279.309,187510.80807229,49250103.16353571746
1636761600,2021-11-13 00:00:00,LTC/USDT,251.101,264.04,244.803,257.798,145820.97728578,37067127.98151062165
1636675200,2021-11-12 00:00:00,LTC/USDT,262.185,282.596,243.166,251.11,302947.84331472,79684149.03753099059
1636588800,2021-11-11 00:00:00,LTC/USDT,260.401,274,250.451,262.283,212788.44621788,55862140.62792366718
1636502400,2021-11-10 00:00:00,LTC/USDT,262.024,295.5,250.961,260.402,438083.72096456,120313197.92242012386
1636416000,2021-11-09 00:00:00,LTC/USDT,228.842,274.696,226.622,262.024,420788.08582889,107779515.68157362457
1636329600,2021-11-08 00:00:00,LTC/USDT,201.994,229.611,201.994,228.842,167060.89186792,36280227.96921484841
1636243200,2021-11-07 00:00:00,LTC/USDT,197.559,202.505,196.596,201.993,67318.80842822,13422003.55217852188
1636156800,2021-11-06 00:00:00,LTC/USDT,198.885,201.181,191.001,197.56,62820.97549481,12318470.46702182261
1636070400,2021-11-05 00:00:00,LTC/USDT,202.547,203.28,196.311,198.904,106988.59893189,21370923.83752234684
1635984000,2021-11-04 00:00:00,LTC/USDT,207.2,207.284,196.107,202.644,99264.07450271,20022457.02885341966
1635897600,2021-11-03 00:00:00,LTC/USDT,200.943,209.28,197.457,207.227,104072.56212352,21223119.46017977533
1635811200,2021-11-02 00:00:00,LTC/USDT,197.532,204.859,195.131,200.909,87682.95929767,17548304.52555623753
1635724800,2021-11-01 00:00:00,LTC/USDT,191.882,201.11,187.848,197.636,99412.43920259,19228306.94470102147
1635638400,2021-10-31 00:00:00,LTC/USDT,190.277,195.396,186.75,191.809,66471.18131726,12686625.40177123447
